"prog","comp","io","tree","comm","gath"
9.534885,6.869883,0.000000,0.058948,1.514414,0.008742
9.518891,6.888508,0.000000,0.060647,1.492460,0.008324
10.113478,6.871445,0.000000,0.060279,1.561223,0.008583
9.546573,6.990696,0.000000,0.061316,1.471444,0.008988
9.543764,6.870479,0.000000,0.061231,1.546523,0.008567
9.796352,6.854049,0.000000,0.057665,1.581854,0.008365
9.533000,6.871209,0.000000,0.060274,1.530606,0.008412
9.543549,6.883598,0.000000,0.057823,1.614308,0.008581
9.671237,6.925297,0.000000,0.060354,1.561560,0.008662
9.554046,6.891661,0.000000,0.059723,1.563515,0.008583
9.494831,6.885251,0.000000,0.067257,1.463514,0.008509
9.625773,6.898441,0.000000,0.061909,1.566648,0.008326
9.762069,6.899206,0.000000,0.058585,1.538565,0.008324
9.606136,6.892566,0.000000,0.061158,1.473980,0.008014
9.388845,6.866663,0.000000,0.060278,1.392080,0.008021
9.616302,6.924679,0.000000,0.060286,1.506468,0.008335
9.521733,6.909375,0.000000,0.060311,1.512068,0.007794
9.581568,6.889236,0.000000,0.060580,1.482978,0.008580
9.696464,6.865237,0.000000,0.059859,1.596231,0.008317
9.573641,6.954207,0.000000,0.068829,1.529278,0.008638
9.614692,6.891135,0.000000,0.060947,1.555924,0.008082
9.655478,6.854355,0.000000,0.060177,1.545499,0.008427
9.496920,6.885043,0.000000,0.060332,1.479748,0.008459
9.948613,6.867968,0.000000,0.060775,1.520627,0.008661
9.542092,6.916675,0.000000,0.058623,1.522820,0.008832
9.586564,6.914453,0.000000,0.060593,1.592199,0.009416
9.572654,6.874243,0.000000,0.060544,1.536282,0.007805
9.945456,6.854381,0.000000,0.068691,1.481471,0.009174
9.883292,6.904019,0.000000,0.061303,1.569051,0.008458
9.574308,6.901425,0.000000,0.061247,1.513453,0.009023
9.564759,6.897984,0.000000,0.061118,1.491046,0.008850
9.555011,6.905268,0.000000,0.060924,1.500107,0.008228
9.657663,7.010509,0.000000,0.059180,1.544153,0.008207
9.492495,6.867990,0.000000,0.061333,1.435244,0.008532
9.559642,6.936876,0.000000,0.067152,1.513469,0.008513
9.528969,6.863160,0.000000,0.068830,1.506893,0.008507
9.704571,6.890564,0.000000,0.060565,1.498116,0.007916
9.606825,6.878655,0.000000,0.058413,1.536726,0.008444
9.709189,6.865649,0.000000,0.059664,1.453637,0.008542
9.507981,6.868712,0.000000,0.058692,1.472465,0.008419
9.634180,6.875857,0.000000,0.068964,1.593550,0.008575
9.541695,6.882908,0.000000,0.061049,1.529353,0.008485
9.553483,6.912686,0.000000,0.061307,1.504888,0.008956
9.484762,6.868790,0.000000,0.061074,1.452259,0.008451
9.444050,6.874146,0.000000,0.066885,1.443628,0.008555
9.602221,6.880950,0.000000,0.068045,1.495595,0.008728
9.458516,6.910454,0.000000,0.060833,1.470838,0.008542
9.654925,6.917919,0.000000,0.060438,1.484627,0.008206
9.802400,6.886019,0.000000,0.060835,1.583918,0.008573
9.843167,6.893410,0.000000,0.059632,1.611029,0.008364
