"prog","comp","io","tree","comm","gath"
11.783646,8.289118,0.000000,0.026092,1.334783,0.004763
11.644057,8.288325,0.000000,0.044665,1.353763,0.004972
11.507100,8.378790,0.000000,0.041812,1.340420,0.005136
12.298098,8.277825,0.000000,0.040631,1.329610,0.004579
11.486041,8.334886,0.000000,0.040010,1.327372,0.005217
11.617968,8.353198,0.000000,0.041662,1.299238,0.005052
11.473394,8.371955,0.000000,0.042909,1.329287,0.004837
11.559950,8.244372,0.000000,0.045023,1.292922,0.004870
11.439213,8.331577,0.000000,0.045470,1.304379,0.004764
11.629358,8.386535,0.000000,0.042328,1.289356,0.005521
11.820518,8.274133,0.000000,0.038836,1.340872,0.004999
11.480083,8.339696,0.000000,0.042038,1.296060,0.005150
11.564272,8.292468,0.000000,0.039542,1.300139,0.005552
11.791663,8.271968,0.000000,0.042447,1.385176,0.007936
11.391203,8.328141,0.000000,0.041374,1.271941,0.004897
11.613892,8.409570,0.000000,0.039597,1.263478,0.004913
11.646850,8.301411,0.000000,0.039182,1.285148,0.005200
11.524826,8.382994,0.000000,0.041815,1.326641,0.004931
11.466398,8.320996,0.000000,0.044707,1.290370,0.004822
11.433177,8.344437,0.000000,0.046354,1.310389,0.005108
11.556254,8.385733,0.000000,0.039749,1.330028,0.004973
11.455169,8.304346,0.000000,0.042131,1.274357,0.004808
11.534615,8.307052,0.000000,0.044172,1.329042,0.005430
11.523860,8.345339,0.000000,0.043356,1.304908,0.004920
11.991723,8.313749,0.000000,0.040715,1.300570,0.004950
11.730275,8.339498,0.000000,0.042699,1.293947,0.004712
11.540179,8.348679,0.000000,0.042601,1.299628,0.005049
11.499812,8.300124,0.000000,0.039912,1.367151,0.004901
11.471517,8.294117,0.000000,0.043584,1.316507,0.004892
11.476539,8.355999,0.000000,0.044957,1.330402,0.004819
11.438376,8.355788,0.000000,0.046166,1.296523,0.005069
11.597193,8.388378,0.000000,0.042978,1.347388,0.004810
12.325540,8.380001,0.000000,0.039907,1.274925,0.004843
11.618286,8.323270,0.000000,0.043425,1.342956,0.005084
11.633956,8.287047,0.000000,0.040984,1.308440,0.005091
11.766570,8.310653,0.000000,0.043882,1.359424,0.004715
11.397757,8.301064,0.000000,0.044648,1.261791,0.005062
11.508856,8.326386,0.000000,0.043909,1.242109,0.004867
11.569157,8.302879,0.000000,0.044847,1.399843,0.005075
12.128886,8.233686,0.000000,0.041349,1.314740,0.004959
11.659888,8.265548,0.000000,0.040072,1.330480,0.004655
11.570655,8.355128,0.000000,0.042935,1.303103,0.005321
11.667854,8.321200,0.000000,0.036581,1.321442,0.004777
11.505707,8.279401,0.000000,0.044756,1.334149,0.005724
11.437362,8.393336,0.000000,0.045527,1.272260,0.004946
11.657040,8.424529,0.000000,0.040341,1.323389,0.004949
11.678052,8.332382,0.000000,0.042285,1.281520,0.005615
11.472646,8.367152,0.000000,0.043428,1.325836,0.005371
11.428179,8.333131,0.000000,0.043035,1.310652,0.005556
11.808835,8.338160,0.000000,0.039667,1.248422,0.005321
