104.910210,  104.639691, 0.267137 
104.823132,  104.530209, 0.289400 
104.920669,  104.661366, 0.255941 
104.773600,  104.511311, 0.258880 
104.889659,  104.631161, 0.255145 
104.791318,  104.530561, 0.257315 
104.778178,  104.500748, 0.274160 
104.891395,  104.631746, 0.256158 
104.806011,  104.546430, 0.256387 
104.913050,  104.653251, 0.256234 
104.835030,  104.577087, 0.254446 
101.773033,  101.508017, 0.261015 
99.385874,  99.133083, 0.249064 
101.788392,  101.538489, 0.246629 
104.630225,  104.369574, 0.257260 
104.642774,  104.384886, 0.254659 
101.060799,  100.804537, 0.252813 
124.200312,  123.922702, 0.274234 
107.760045,  107.498364, 0.258383 
107.954725,  107.676199, 0.275149 
107.800356,  107.532660, 0.264345 
117.804965,  117.529952, 0.271420 
109.480047,  109.155858, 0.318827 
108.061370,  107.779984, 0.278089 
107.911755,  107.644211, 0.264202 
107.898018,  107.630912, 0.263671 
117.923219,  117.651088, 0.268706 
154.391969,  154.027836, 0.358407 
153.596245,  153.241004, 0.349814 
154.409906,  154.038389, 0.366024 
156.560252,  156.222505, 0.332289 
156.852386,  156.458181, 0.388758 
156.094080,  155.696849, 0.391597 
156.088273,  155.704439, 0.378364 
153.608949,  153.230158, 0.374098 
100.325770,  100.064077, 0.257989 
100.475734,  100.220174, 0.252083 
100.375199,  100.119931, 0.251878 
100.205965,  99.955864, 0.246690 
102.023420,  101.773906, 0.245970 
107.438664,  107.182260, 0.252518 
111.436291,  111.156256, 0.275730 
112.066191,  111.773739, 0.288288 
112.234415,  111.951591, 0.278082 
109.702647,  109.423451, 0.274180 
110.707640,  110.416496, 0.286563 
110.521506,  110.239435, 0.277903 
110.282558,  110.007680, 0.270539 
110.750628,  110.468465, 0.278203 
110.518572,  110.231453, 0.282766 
111.524715,  111.252503, 0.268051 
110.709940,  110.433199, 0.272704 
110.581115,  110.304279, 0.272886 
110.396272,  110.124067, 0.268066 
110.473864,  110.192911, 0.275889 
110.813355,  110.538071, 0.271316 
108.432332,  108.152862, 0.274824 
108.862816,  108.594016, 0.264758 
108.755517,  108.482460, 0.268670 
108.766723,  108.497363, 0.265401 
108.832143,  108.560767, 0.266826 
108.748065,  108.477810, 0.265770 
108.893347,  108.623816, 0.265153 
108.776149,  108.505194, 0.266789 
108.754145,  108.483856, 0.265559 
108.796405,  108.526163, 0.265943 
108.755720,  108.478649, 0.272754 
108.790532,  108.514215, 0.272123 
108.829149,  108.558686, 0.266310 
108.787956,  108.510215, 0.273439 
108.895034,  108.624476, 0.266537 
108.763579,  108.492888, 0.266396 
108.842971,  108.572089, 0.267031 
108.804543,  108.528325, 0.272118 
108.818292,  108.548688, 0.265503 
108.757013,  108.457105, 0.295535 
108.824203,  108.554301, 0.265579 
108.949674,  108.679769, 0.265867 
108.738318,  108.467809, 0.265658 
107.242937,  106.973116, 0.265704 
107.807012,  107.550039, 0.252632 
105.964972,  105.685882, 0.275192 
108.728419,  108.445839, 0.278433 
108.821150,  108.550940, 0.265974 
108.785215,  108.511915, 0.268456 
108.833944,  108.557476, 0.272414 
108.823300,  108.551267, 0.268065 
108.845085,  108.574656, 0.266345 
108.749070,  108.479286, 0.265714 
108.801809,  108.531250, 0.266498 
108.847731,  108.579540, 0.264183 
108.828345,  108.559852, 0.263865 
108.909350,  108.633735, 0.271409 
108.780022,  108.509498, 0.266341 
109.879396,  109.609429, 0.265809 
108.886788,  108.616403, 0.266287 
108.787663,  108.511768, 0.271572 
108.733631,  108.463380, 0.265952 
108.815770,  108.546273, 0.264890 
108.775482,  108.505306, 0.266107 
