"prog","comp","io","tree","comm","gath"
23.324388,11.272728,0.000000,0.116038,7.374220,0.048078
23.041534,11.255597,0.000000,0.117524,7.258549,0.045671
23.123192,11.343013,0.000000,0.117394,7.494070,0.045717
23.142015,11.305198,0.000000,0.115134,7.218842,0.045484
23.046007,11.247147,0.000000,0.118726,7.238331,0.045537
23.116795,11.252441,0.000000,0.117741,7.398367,0.046817
23.132393,11.256195,0.000000,0.107414,7.265676,0.045102
24.031299,11.235983,0.000000,0.114324,7.545872,0.045133
23.277551,11.143826,0.000000,0.116184,7.503244,0.045135
23.419688,11.231476,0.000000,0.119173,7.328016,0.045982
22.991673,11.225605,0.000000,0.119951,7.460028,0.045746
23.135335,11.264768,0.000000,0.114125,7.129831,0.045417
23.630310,11.261501,0.000000,0.116085,7.228889,0.048143
22.946890,11.210481,0.000000,0.114672,7.324245,0.045343
22.950250,11.234308,0.000000,0.115667,7.512446,0.045422
23.252347,11.235811,0.000000,0.114315,7.315389,0.047369
23.198807,11.216939,0.000000,0.119850,7.291759,0.045360
23.194849,11.240416,0.000000,0.118406,7.290385,0.045425
23.709467,11.234805,0.000000,0.114677,7.239071,0.045619
23.300451,11.246623,0.000000,0.118618,7.246033,0.045665
23.358209,11.244917,0.000000,0.117515,7.223710,0.045551
23.647394,11.349389,0.000000,0.111188,7.199684,0.045927
23.212437,11.298297,0.000000,0.118010,7.394361,0.045716
23.128765,11.231788,0.000000,0.117412,7.357765,0.045754
22.843261,11.249292,0.000000,0.118441,7.179453,0.049008
22.944183,11.277742,0.000000,0.113440,7.197760,0.045682
22.975517,11.201938,0.000000,0.116718,7.444133,0.045710
23.442473,11.199202,0.000000,0.117195,7.388083,0.045541
23.138694,11.204680,0.000000,0.117300,7.346194,0.045661
22.887022,11.182894,0.000000,0.119829,7.340587,0.045241
23.167514,11.262658,0.000000,0.115369,7.366927,0.046750
23.292491,11.296117,0.000000,0.118390,7.308790,0.045793
23.980601,11.223516,0.000000,0.115259,7.242046,0.045378
22.981345,11.293435,0.000000,0.116213,7.384741,0.045117
23.188815,11.247482,0.000000,0.117100,7.406842,0.045706
23.081899,11.224798,0.000000,0.119423,7.338714,0.045421
22.908297,11.250790,0.000000,0.118757,7.293763,0.045896
23.653222,11.338366,0.000000,0.112231,7.358485,0.045973
23.031947,11.293385,0.000000,0.117830,7.350622,0.044915
23.458292,11.311862,0.000000,0.120128,7.364639,0.045361
22.823199,11.342831,0.000000,0.113334,7.223451,0.045137
22.850228,11.286425,0.000000,0.111914,7.192649,0.045492
23.005482,11.466501,0.000000,0.117475,7.467828,0.047533
22.826071,11.313856,0.000000,0.114983,7.227803,0.045525
23.010720,11.196044,0.000000,0.117621,7.282954,0.045322
23.264235,11.261233,0.000000,0.119704,7.449019,0.045662
22.950016,11.214057,0.000000,0.108625,7.278397,0.046702
22.931668,11.230646,0.000000,0.115778,7.315702,0.045317
22.990074,11.195748,0.000000,0.110136,7.387844,0.047124
23.053032,11.271524,0.000000,0.115439,7.369683,0.047493
