"prog","comp","io","tree","comm","gath"
13.115995,3.123088,0.000000,0.121031,6.499660,0.031462
12.928761,3.133131,0.000000,0.121205,6.501287,0.028239
12.992316,3.111785,0.000000,0.124644,6.418622,0.027409
13.275197,3.147262,0.000000,0.119603,6.396605,0.028051
12.930621,3.149647,0.000000,0.121713,6.373484,0.028161
13.161294,3.143211,0.000000,0.124497,6.297444,0.027853
13.506915,3.078062,0.000000,0.118959,6.407050,0.026289
13.166899,3.142159,0.000000,0.122810,6.516633,0.027972
13.043582,3.135055,0.000000,0.123395,6.597040,0.029078
13.303836,3.100082,0.000000,0.119362,6.452511,0.029020
13.274786,3.134330,0.000000,0.119291,6.285825,0.025008
14.263250,3.094439,0.000000,0.115240,6.336417,0.027619
13.056522,3.133581,0.000000,0.120409,6.449639,0.028532
13.276385,3.172672,0.000000,0.121320,6.375497,0.026141
13.267618,3.122855,0.000000,0.122630,6.494090,0.028523
13.544192,3.115955,0.000000,0.122649,6.546092,0.025450
12.995892,3.134608,0.000000,0.121103,6.389079,0.030361
13.320243,3.138919,0.000000,0.122488,6.601897,0.025546
13.060018,3.146897,0.000000,0.122921,6.511803,0.029640
13.157524,3.116678,0.000000,0.118587,6.279004,0.026357
13.610055,3.105377,0.000000,0.118855,6.272295,0.026206
13.178836,3.134050,0.000000,0.118160,6.253831,0.029528
12.945196,3.154424,0.000000,0.120763,6.323698,0.024167
13.122545,3.292081,0.000000,0.126342,6.207153,0.027302
13.196285,3.129251,0.000000,0.121210,6.123276,0.027836
12.933059,3.137802,0.000000,0.122172,6.398372,0.028147
12.870666,3.126955,0.000000,0.120334,6.459973,0.028253
13.187391,3.135415,0.000000,0.119924,6.462437,0.028961
13.536549,3.098858,0.000000,0.119617,6.442659,0.029823
12.941508,3.141563,0.000000,0.117420,6.470077,0.025936
12.843877,3.130221,0.000000,0.121280,6.527727,0.025226
13.144013,3.154467,0.000000,0.122717,6.354310,0.026858
13.152110,3.136810,0.000000,0.121059,6.550894,0.029227
13.023148,3.128557,0.000000,0.120392,6.402611,0.026903
13.323092,3.135662,0.000000,0.123095,6.520328,0.028077
13.239480,3.165526,0.000000,0.120827,6.431446,0.034648
13.099492,3.190861,0.000000,0.121180,6.246740,0.030935
13.269198,3.142666,0.000000,0.123872,6.389123,0.033394
13.151102,3.121941,0.000000,0.121343,6.459257,0.028429
13.049888,3.167001,0.000000,0.123524,6.400909,0.029920
13.275603,3.148094,0.000000,0.123485,6.412036,0.029167
13.218265,3.155867,0.000000,0.119639,6.534391,0.027874
12.950710,3.191500,0.000000,0.122111,6.400999,0.027054
13.153730,3.110874,0.000000,0.120446,6.649196,0.026089
13.164070,3.178820,0.000000,0.124147,6.356643,0.027461
13.072890,3.140272,0.000000,0.116956,6.532168,0.027105
13.166581,3.130854,0.000000,0.122464,6.618711,0.026407
13.011594,3.136964,0.000000,0.124084,6.512811,0.025965
13.046731,3.131660,0.000000,0.122778,6.473324,0.026845
13.111615,3.130512,0.000000,0.122438,6.227337,0.027450
