"prog","comp","io","tree","comm","gath"
13.101086,3.030489,0.000000,0.104345,6.721920,0.032598
13.128139,3.051813,0.000000,0.108362,6.759221,0.028332
12.947499,3.078622,0.000000,0.111539,6.623986,0.026235
13.408560,3.064493,0.000000,0.113081,6.806739,0.026096
13.154393,3.023107,0.000000,0.114568,6.540001,0.023646
13.176265,3.003742,0.000000,0.103275,6.673432,0.025122
12.874086,2.990702,0.000000,0.110733,6.808032,0.023604
13.075183,3.025343,0.000000,0.110459,6.979873,0.024220
13.000273,2.996306,0.000000,0.107847,6.656692,0.025809
13.408630,3.010634,0.000000,0.107346,6.970536,0.025297
13.147326,3.019527,0.000000,0.106666,7.007984,0.025240
13.900389,3.023896,0.000000,0.104315,7.076020,0.025906
12.878846,2.994418,0.000000,0.110665,6.634468,0.025862
13.153719,3.039815,0.000000,0.103651,6.681694,0.025047
13.345060,3.076661,0.000000,0.111975,7.027466,0.025531
13.150122,3.024034,0.000000,0.110512,6.793163,0.028861
12.941028,3.036635,0.000000,0.105890,6.693653,0.023461
13.061885,3.008993,0.000000,0.112576,6.852636,0.023484
12.968994,3.004268,0.000000,0.112785,6.723374,0.026975
13.140376,3.037936,0.000000,0.108456,6.936344,0.024948
13.303755,3.005963,0.000000,0.109898,6.576375,0.025725
13.013784,3.033536,0.000000,0.109385,6.716242,0.026419
13.369993,3.001413,0.000000,0.106092,6.752245,0.026478
13.422804,3.063113,0.000000,0.106881,6.797316,0.024359
13.082057,3.006079,0.000000,0.108147,6.639310,0.028783
13.168392,3.010825,0.000000,0.108368,6.670030,0.024960
12.887257,3.034362,0.000000,0.112170,6.540739,0.024950
12.877560,3.050437,0.000000,0.112184,6.595856,0.026240
13.065683,2.990875,0.000000,0.111158,6.824267,0.025701
12.930475,3.038544,0.000000,0.114518,6.690434,0.025402
12.886055,3.027030,0.000000,0.110858,6.602542,0.024316
13.083058,3.024855,0.000000,0.109651,6.794500,0.027200
12.905745,3.040342,0.000000,0.113619,6.710493,0.026172
12.964464,3.000988,0.000000,0.110995,6.828701,0.025653
13.057772,3.037407,0.000000,0.112035,6.726566,0.025157
12.811281,3.002625,0.000000,0.113431,6.687245,0.025726
13.027531,3.018958,0.000000,0.112450,6.805289,0.025867
13.043339,2.991981,0.000000,0.114106,6.540163,0.023248
13.078505,2.999659,0.000000,0.104601,6.715001,0.024688
13.332328,3.033753,0.000000,0.107414,6.863938,0.023707
13.583080,3.008220,0.000000,0.108775,6.937323,0.025207
13.025989,3.016535,0.000000,0.107824,6.914886,0.025979
13.115694,3.048080,0.000000,0.108403,6.578345,0.024773
13.115560,3.036434,0.000000,0.107075,6.822287,0.026024
13.113872,3.001303,0.000000,0.108027,6.776152,0.025246
13.140630,3.044973,0.000000,0.109947,6.781446,0.022301
13.553653,3.007398,0.000000,0.110347,6.691541,0.027467
12.948192,3.000599,0.000000,0.105330,6.739249,0.026418
13.050204,3.039916,0.000000,0.113571,6.744417,0.025702
13.197230,3.022428,0.000000,0.105445,6.977536,0.025576
