"prog","comp","io","tree","comm","gath"
24.072701,21.800411,0.000000,0.129700,1.238081,0.006127
24.008366,21.796482,0.000000,0.188573,1.252715,0.006233
24.175282,22.029050,0.000000,0.130620,1.242552,0.006187
24.072797,21.991402,0.000000,0.129994,1.217721,0.006112
24.039196,21.825229,0.000000,0.130452,1.213944,0.005989
23.935987,21.789212,0.000000,0.129639,1.211635,0.006148
24.104700,21.778818,0.000000,0.182984,1.209665,0.006141
24.060746,21.847502,0.000000,0.136942,1.247587,0.006035
24.056335,21.813054,0.000000,0.132166,1.230298,0.006151
23.929344,21.791840,0.000000,0.133110,1.226058,0.005989
24.099669,21.837545,0.000000,0.129679,1.219793,0.006021
24.011196,21.825987,0.000000,0.130945,1.219394,0.006163
24.033784,22.077334,0.000000,0.134425,1.230155,0.005921
24.047938,21.783986,0.000000,0.129887,1.244660,0.006005
24.031853,21.842073,0.000000,0.131248,1.173839,0.005967
24.060978,22.163919,0.000000,0.133340,1.213628,0.005888
24.431975,21.794322,0.000000,0.128255,1.222130,0.005810
24.112700,21.906205,0.000000,0.187752,1.218794,0.005869
23.988134,21.724542,0.000000,0.135085,1.204365,0.006204
23.918920,21.781802,0.000000,0.133767,1.235722,0.005936
24.106342,21.769806,0.000000,0.130700,1.225342,0.006252
24.182688,21.858745,0.000000,0.135138,1.238530,0.005959
24.277796,22.113997,0.000000,0.182699,1.212917,0.006346
23.981560,21.810029,0.000000,0.132048,1.224268,0.006116
24.017919,21.865634,0.000000,0.132187,1.205300,0.006310
24.109694,21.860608,0.000000,0.135197,1.230306,0.006222
23.957718,21.991495,0.000000,0.130478,1.211813,0.005907
24.303993,21.679065,0.000000,0.181551,1.225038,0.005798
23.905796,21.907377,0.000000,0.136900,1.252774,0.006132
23.975360,21.789965,0.000000,0.130264,1.215514,0.005991
23.957615,21.844848,0.000000,0.131935,1.237808,0.005852
24.106746,21.770806,0.000000,0.130344,1.198790,0.006151
24.221824,21.852244,0.000000,0.130162,1.234234,0.006249
24.220566,21.846278,0.000000,0.132535,1.228450,0.005996
23.952944,21.802926,0.000000,0.132476,1.199521,0.006112
24.131486,21.762023,0.000000,0.181209,1.184717,0.006061
24.262178,21.792989,0.000000,0.131430,1.214599,0.005987
23.990300,21.827930,0.000000,0.129653,1.243725,0.006348
24.013897,21.780084,0.000000,0.130315,1.230011,0.005978
23.947596,21.792722,0.000000,0.136610,1.220176,0.006227
24.096923,21.795659,0.000000,0.130030,1.226706,0.005953
24.042692,21.876158,0.000000,0.131887,1.224243,0.006048
23.954770,21.760969,0.000000,0.183645,1.243207,0.005932
23.968017,21.775814,0.000000,0.131001,1.231834,0.005914
23.998995,21.852980,0.000000,0.129442,1.238545,0.005879
24.054167,21.835089,0.000000,0.129366,1.231817,0.005795
24.170520,21.779669,0.000000,0.130599,1.242440,0.005924
23.935486,21.752822,0.000000,0.129684,1.244849,0.006075
24.299915,21.849877,0.000000,0.185877,1.225423,0.005997
23.957684,21.742702,0.000000,0.130579,1.237945,0.005885
