"prog","comp","io","tree","comm","gath"
4.967192,1.911700,0.000000,0.018410,1.374713,0.008180
4.160445,1.965000,0.000000,0.019330,1.336535,0.010635
4.155716,1.948795,0.000000,0.018474,1.351807,0.008402
4.261124,2.004555,0.000000,0.020665,1.346959,0.008950
4.054666,1.962339,0.000000,0.020806,1.297994,0.008519
4.367133,1.912703,0.000000,0.019216,1.379229,0.008903
4.630741,1.902577,0.000000,0.017836,1.346857,0.008468
4.543392,1.922577,0.000000,0.018652,1.374959,0.008119
4.166934,1.925337,0.000000,0.019779,1.324537,0.008105
4.140751,1.964621,0.000000,0.020703,1.358677,0.009214
4.385452,1.947108,0.000000,0.018415,1.370069,0.008060
4.825479,1.905984,0.000000,0.018188,1.362306,0.008868
4.443159,1.941576,0.000000,0.019167,1.342834,0.008752
4.158854,1.995269,0.000000,0.020994,1.389408,0.009157
4.547409,1.915592,0.000000,0.018345,1.361115,0.008361
4.429202,1.905802,0.000000,0.018371,1.347292,0.009049
4.405199,1.940182,0.000000,0.019704,1.354562,0.009034
4.223542,1.990204,0.000000,0.019361,1.350808,0.008761
4.116135,1.978436,0.000000,0.020678,1.346033,0.008289
4.174269,1.961754,0.000000,0.019118,1.342669,0.009079
4.138092,1.908403,0.000000,0.020490,1.366517,0.008411
4.223668,1.965211,0.000000,0.019415,1.322895,0.008241
4.152242,1.980638,0.000000,0.020796,1.343293,0.008265
4.270534,1.959771,0.000000,0.019707,1.354026,0.008414
4.422754,1.989194,0.000000,0.018592,1.375265,0.008938
4.264197,1.919280,0.000000,0.019302,1.360496,0.009288
4.738729,1.908593,0.000000,0.017732,1.377265,0.007749
4.714680,1.921272,0.000000,0.018746,1.360803,0.007911
4.216646,1.971930,0.000000,0.019824,1.365693,0.009006
4.229747,1.957821,0.000000,0.018955,1.360483,0.008225
4.482885,1.907804,0.000000,0.018872,1.349639,0.009113
4.113487,1.983059,0.000000,0.021291,1.367105,0.010366
4.101275,1.945013,0.000000,0.019045,1.336436,0.007877
4.221306,1.956253,0.000000,0.020017,1.386404,0.008694
4.357071,1.965191,0.000000,0.019781,1.352133,0.008230
4.181459,1.952617,0.000000,0.019986,1.353606,0.008192
4.186262,1.901665,0.000000,0.019786,1.339470,0.009026
4.317898,1.944909,0.000000,0.019448,1.347474,0.009118
4.903490,1.912142,0.000000,0.018503,1.334563,0.008375
4.131791,1.982298,0.000000,0.021339,1.357536,0.008084
4.103822,1.970342,0.000000,0.019268,1.345999,0.010115
4.220999,1.942951,0.000000,0.019163,1.347587,0.009719
4.093964,1.973021,0.000000,0.021468,1.330099,0.009066
4.348834,1.913594,0.000000,0.018830,1.390116,0.008219
5.087970,1.904535,0.000000,0.017904,1.365202,0.008112
4.298671,1.934176,0.000000,0.018486,1.363875,0.009123
4.143340,1.998930,0.000000,0.020312,1.363987,0.009040
4.206641,1.953598,0.000000,0.018793,1.337857,0.009365
4.141361,1.992586,0.000000,0.021142,1.369533,0.008967
4.258996,1.951267,0.000000,0.019454,1.344122,0.009102
