"prog","comp","io","tree","comm","gath"
6.698226,4.611803,0.000000,0.132055,1.195788,0.008863
6.691861,4.631732,0.000000,0.130485,1.226528,0.008290
6.598630,4.636738,0.000000,0.133102,1.233138,0.008493
6.478335,4.566915,0.000000,0.131247,1.216634,0.008261
6.540653,4.619120,0.000000,0.133520,1.231123,0.008530
6.567155,4.654681,0.000000,0.136552,1.204168,0.008623
6.609139,4.636327,0.000000,0.132274,1.233064,0.008508
6.675178,4.625793,0.000000,0.132470,1.223357,0.008790
6.630263,4.615943,0.000000,0.131477,1.210011,0.008696
6.615042,4.637981,0.000000,0.136700,1.231910,0.008667
6.558380,4.644822,0.000000,0.138342,1.231196,0.009010
6.564530,4.624356,0.000000,0.132227,1.207614,0.008599
6.672912,4.630706,0.000000,0.132764,1.230708,0.008587
6.663003,4.667958,0.000000,0.131403,1.210872,0.008590
6.617085,4.614757,0.000000,0.133016,1.231439,0.008766
6.548968,4.610450,0.000000,0.131799,1.197986,0.008499
6.615084,4.644592,0.000000,0.186866,1.198697,0.008782
6.586423,4.613061,0.000000,0.132772,1.230250,0.008823
6.583404,4.628965,0.000000,0.133807,1.225866,0.008767
6.572958,4.636542,0.000000,0.139708,1.216894,0.009010
6.766499,4.617687,0.000000,0.132602,1.207237,0.008463
6.562733,4.628026,0.000000,0.131934,1.216838,0.008456
6.584225,4.628418,0.000000,0.132167,1.240326,0.008725
6.581299,4.616107,0.000000,0.132146,1.194591,0.008440
6.704785,4.607228,0.000000,0.131702,1.234085,0.008446
6.613422,4.635683,0.000000,0.134039,1.256266,0.008753
6.552914,4.620195,0.000000,0.133222,1.236741,0.008670
6.610801,4.651274,0.000000,0.139853,1.220800,0.009077
6.610656,4.631926,0.000000,0.134036,1.200308,0.008571
6.544545,4.620544,0.000000,0.131299,1.219244,0.008534
6.641097,4.624210,0.000000,0.133486,1.221037,0.008617
6.715178,4.621014,0.000000,0.132820,1.210853,0.008326
6.605465,4.619255,0.000000,0.172008,1.192053,0.008816
6.609196,4.619698,0.000000,0.132120,1.236333,0.008808
6.641266,4.634590,0.000000,0.130942,1.222647,0.008665
6.648335,4.605066,0.000000,0.183821,1.234759,0.008522
6.645068,4.604268,0.000000,0.132108,1.225154,0.008737
6.538710,4.627873,0.000000,0.135785,1.206771,0.008789
6.685922,4.617389,0.000000,0.132087,1.214527,0.008902
6.599640,4.621350,0.000000,0.133160,1.214603,0.008581
6.486198,4.611757,0.000000,0.133318,1.177911,0.008566
6.693503,4.614439,0.000000,0.131877,1.225493,0.008565
6.551562,4.646169,0.000000,0.138674,1.222735,0.008832
6.726085,4.637485,0.000000,0.131649,1.243580,0.008544
6.662504,4.612026,0.000000,0.132338,1.222931,0.009447
6.569737,4.618567,0.000000,0.134993,1.184669,0.008659
6.703384,4.613342,0.000000,0.131052,1.217918,0.008571
6.560718,4.632939,0.000000,0.133608,1.221142,0.008632
6.645835,4.650493,0.000000,0.132286,1.217668,0.008382
6.613018,4.624581,0.000000,0.132784,1.210516,0.008888
