"prog","comp","io","tree","comm","gath"
6.530313,4.668225,0.057220,0.135245,0.534672,0.028017
6.642486,4.656087,0.040307,0.131637,0.542586,0.027131
6.643828,4.654076,0.040136,0.132730,0.538523,0.027677
6.560519,4.580250,0.040185,0.132120,0.645034,0.027501
6.626839,4.650578,0.040681,0.132615,0.544110,0.027472
6.568504,4.642082,0.041255,0.133330,0.529270,0.027608
6.571689,4.657713,0.046355,0.133198,0.532577,0.027457
6.610002,4.661998,0.041717,0.133367,0.543225,0.028101
6.648429,4.728883,0.047878,0.190533,0.548482,0.028326
6.602006,4.655204,0.040611,0.133527,0.644357,0.027794
6.644642,4.634545,0.040677,0.134013,0.539350,0.028681
6.647207,4.647452,0.040215,0.133225,0.531813,0.028135
6.645809,4.655309,0.044175,0.133103,0.536678,0.027619
6.558636,4.679715,0.059667,0.135801,0.640323,0.027455
6.539950,4.652090,0.041853,0.133867,0.531776,0.027494
6.487206,4.623326,0.040677,0.132930,0.535018,0.027628
6.618918,4.687026,0.063567,0.136225,0.531498,0.027488
6.589714,4.667469,0.064755,0.137109,0.543838,0.028560
6.607731,4.641760,0.040761,0.133621,0.544088,0.027751
6.571608,4.664666,0.044461,0.133209,0.537993,0.027840
6.619837,4.653579,0.053433,0.134595,0.540424,0.027472
6.599900,4.628706,0.040438,0.131679,0.646187,0.027504
6.552482,4.653622,0.042520,0.132761,0.534121,0.028098
6.718495,4.635239,0.040613,0.133330,0.533983,0.028626
6.594051,4.638823,0.041809,0.134436,0.530258,0.027615
6.610273,4.679088,0.057291,0.135644,0.540828,0.028413
6.639319,4.614853,0.040666,0.132877,0.532952,0.028505
6.720891,4.654060,0.040376,0.132787,0.539471,0.028062
6.606215,4.636566,0.040627,0.133803,0.537699,0.028389
6.655688,4.612268,0.040295,0.131998,0.535701,0.027497
6.647612,4.696917,0.067905,0.138508,0.538721,0.027613
6.573609,4.628934,0.040807,0.134813,0.533483,0.027999
6.598513,4.692155,0.065628,0.136560,0.646540,0.028518
6.590177,4.674702,0.068090,0.137256,0.533713,0.027400
6.629432,4.668088,0.055367,0.132942,0.533788,0.028538
6.749686,4.630068,0.040705,0.133025,0.539349,0.028054
6.576511,4.676688,0.059936,0.134970,0.536868,0.028302
6.540258,4.679218,0.043991,0.132918,0.542230,0.027498
6.558314,4.673203,0.057968,0.135492,0.533767,0.028612
6.556409,4.678971,0.053255,0.134257,0.533814,0.027744
6.494791,4.657538,0.040557,0.133504,0.549886,0.027714
6.676851,4.660852,0.040849,0.132947,0.533799,0.027300
6.660865,4.674622,0.040206,0.132113,0.530057,0.028347
6.657786,4.707856,0.044499,0.136927,0.536388,0.028229
6.695907,4.687181,0.057877,0.135941,0.536212,0.028765
6.599843,4.663857,0.059825,0.136102,0.647471,0.027361
6.755691,4.642779,0.040459,0.184351,0.536796,0.028394
6.564254,4.644792,0.040224,0.131988,0.531863,0.027310
6.529793,4.647914,0.040547,0.133513,0.546734,0.027491
6.615911,4.687013,0.064168,0.136478,0.539728,0.028497
