"prog","comp","io","tree","comm","gath"
229.771499,224.426586,0.000000,1.153141,2.262822,0.065399
226.875532,220.311026,0.000000,1.141730,2.263533,0.064405
226.613501,220.806980,0.000000,1.135352,2.238642,0.063962
227.478068,221.516420,0.000000,1.149614,2.247462,0.064460
227.564544,220.105560,0.000000,1.144618,2.272211,0.065177
227.633912,222.185695,0.000000,1.155069,2.256738,0.064282
226.969373,221.355116,0.000000,1.147305,2.262144,0.065059
226.373872,220.632424,0.000000,1.143865,2.248444,0.064591
227.443511,221.084430,0.000000,1.143153,2.269014,0.064511
226.733149,219.691630,0.000000,1.144857,2.243657,0.065557
229.515992,224.246094,0.000000,1.146531,2.241641,0.064842
227.574062,221.495461,0.000000,1.149707,2.269196,0.064708
226.900049,220.536124,0.000000,1.147161,2.263969,0.064667
227.778585,220.689178,0.000000,1.147721,2.281462,0.065209
227.009320,220.895828,0.000000,1.139331,2.241178,0.064821
227.448362,220.280437,0.000000,1.143954,2.184077,0.064881
227.925707,220.728612,0.000000,1.147176,2.236644,0.064824
226.957359,220.095473,0.000000,1.145738,2.244724,0.064564
226.212715,220.811707,0.000000,1.147513,2.256882,0.064472
226.301241,220.015845,0.000000,1.143546,2.263943,0.064779
226.483554,220.308439,0.000000,1.138614,2.280888,0.064046
226.125597,220.035282,0.000000,1.145152,2.265766,0.064556
229.803262,221.095069,0.000000,1.148633,2.289030,0.064392
224.907471,219.240294,0.000000,1.139566,2.255037,0.064363
226.073285,219.660668,0.000000,1.132140,2.243457,0.064495
227.576432,219.268950,0.000000,1.137844,2.315231,0.063919
226.191934,219.302325,0.000000,1.134070,2.273114,0.064517
228.198970,220.622897,0.000000,1.155573,2.290548,0.064220
229.422671,220.644061,0.000000,1.142459,2.240734,0.065054
226.320928,220.000011,0.000000,1.135996,2.240514,0.064583
226.084773,220.384932,0.000000,1.135792,2.238676,0.064696
226.986947,219.154359,0.000000,1.139929,2.237312,0.064137
226.728301,220.257473,0.000000,1.140324,2.267374,0.064627
225.331800,219.220850,0.000000,1.145394,2.187148,0.064394
226.318916,219.260896,0.000000,1.145407,2.248032,0.064578
227.182802,221.338668,0.000000,1.146529,2.250946,0.064377
227.728863,220.493562,0.000000,1.144160,2.190792,0.064097
227.858779,220.281737,0.000000,1.137627,2.251792,0.064915
226.707307,219.713563,0.000000,1.141115,2.249398,0.064312
229.222869,220.164797,0.000000,1.138161,2.256598,0.064579
226.873945,220.611373,0.000000,1.136564,2.234333,0.064028
228.687834,220.186198,0.000000,1.142555,2.314835,0.064314
226.459763,220.656393,0.000000,1.138979,2.228110,0.064357
227.829403,222.288745,0.000000,1.148166,2.255108,0.065114
227.557964,220.964439,0.000000,1.142684,2.270156,0.065073
227.507418,221.435512,0.000000,1.145953,2.256006,0.065528
227.133299,221.059799,0.000000,1.140096,2.282546,0.063908
227.424163,221.701556,0.000000,1.151532,2.235703,0.064596
227.505177,220.917470,0.000000,1.141720,2.245726,0.064723
229.398673,221.524758,0.000000,1.146761,2.245559,0.064567
