"prog","comp","io","tree","comm","gath"
26.259775,13.632876,0.142960,0.194047,5.474986,0.272536
26.150142,13.635730,0.146052,0.193925,5.410714,0.271871
26.422357,13.844279,0.143489,0.192224,6.109458,0.274699
26.192897,13.607590,0.143510,0.186899,6.201317,0.270770
25.674970,13.598035,0.142852,0.190457,6.182183,0.272634
25.759005,13.637167,0.143210,0.188786,6.374405,0.269586
25.922754,13.644783,0.142789,0.192340,5.730657,0.269622
26.236242,13.601410,0.143596,0.186459,5.891304,0.269744
26.032606,13.670722,0.142937,0.137513,4.647680,0.269783
26.695813,13.608783,0.142966,0.191371,6.256924,0.271520
25.907953,13.622795,0.142859,0.190308,5.828380,0.269706
25.544367,13.592405,0.143457,0.189060,6.031280,0.270654
25.880456,13.672963,0.143538,0.190695,5.192178,0.270414
26.152687,13.935878,0.143100,0.207442,5.876832,0.270149
25.564780,13.629923,0.142653,0.188196,5.779215,0.264087
25.823594,13.697534,0.143033,0.188092,6.226227,0.269248
25.550626,13.701643,0.143038,0.192638,6.085131,0.272330
25.737760,13.625996,0.142993,0.137799,5.555996,0.269992
26.043758,13.676181,0.142766,0.188435,6.656534,0.273580
25.932991,13.638186,0.143325,0.191392,5.902220,0.276526
26.856340,13.605402,0.142988,0.189649,6.104564,0.268075
25.659835,13.729506,0.143832,0.193080,5.679397,0.270126
25.903522,13.649125,0.143321,0.191518,5.842262,0.276769
26.282615,13.623359,0.143144,0.189407,5.426121,0.270201
26.067018,13.657594,0.143711,0.187687,5.349041,0.269578
26.752684,13.616589,0.142651,0.186191,6.384726,0.267881
26.002226,13.600477,0.142713,0.189345,5.907158,0.270718
26.466354,13.681256,0.142688,0.194604,6.003669,0.269356
25.883956,13.590486,0.146209,0.189368,5.398364,0.271708
26.446782,13.693459,0.143491,0.187372,5.842173,0.268020
25.940755,13.597849,0.142872,0.188909,5.728696,0.277814
26.113618,13.593832,0.143092,0.187922,5.102822,0.269559
26.030711,13.589561,0.142792,0.189165,5.540734,0.271184
26.394811,13.590091,0.142907,0.190163,6.350051,0.269082
26.187119,13.646724,0.143283,0.188782,6.705437,0.270759
26.116122,13.666156,0.165189,0.192679,5.807865,0.271606
25.761785,13.649926,0.144037,0.187213,5.413436,0.268751
26.077974,13.648866,0.142769,0.192119,6.577709,0.268986
26.091183,13.607582,0.143655,0.193548,5.465065,0.270018
26.408014,13.604177,0.149023,0.190004,6.594029,0.272949
26.660633,13.678358,0.142901,0.190309,5.197949,0.274890
25.906239,13.609308,0.142927,0.191719,6.151656,0.272479
25.959230,13.724072,0.143219,0.139734,6.502542,0.270559
26.006374,13.582870,0.165215,0.193432,6.395331,0.268765
26.064246,13.638853,0.142910,0.187118,6.319772,0.269333
25.795232,13.616820,0.142471,0.187917,6.730727,0.269858
26.055820,13.628780,0.143003,0.192208,5.744984,0.271846
26.173320,13.622283,0.142815,0.191208,5.450480,0.268299
25.813944,13.624516,0.142925,0.190985,5.228519,0.272445
26.315259,13.669736,0.142835,0.192641,5.722030,0.269054
