"prog","comp","io","tree","comm","gath"
55.443237,43.026055,0.000000,0.420997,4.109842,0.019400
55.844134,43.213755,0.000000,0.420991,4.087715,0.018417
55.779870,43.050406,0.000000,0.410279,4.068205,0.032512
55.650762,43.089832,0.000000,0.418473,4.047903,0.019659
56.242240,43.018684,0.000000,0.422453,4.058860,0.028700
55.627134,43.027561,0.000000,0.427257,4.033071,0.019456
55.851547,43.324039,0.000000,0.433077,4.068971,0.022525
56.056329,42.988144,0.000000,0.422165,4.083811,0.018824
56.241146,43.621081,0.000000,0.443407,4.143353,0.019826
55.437810,43.154700,0.000000,0.432630,4.066825,0.019517
55.794869,43.631460,0.000000,0.431432,4.019743,0.019425
55.413430,43.122495,0.000000,0.428606,4.064616,0.029729
55.683960,43.191532,0.000000,0.436634,4.068605,0.019379
55.744598,43.275393,0.000000,0.427699,4.047474,0.033468
55.529406,43.077653,0.000000,0.421911,4.129305,0.030271
55.414193,43.121339,0.000000,0.436790,4.059038,0.019644
55.421153,43.134820,0.000000,0.416391,4.038174,0.019470
55.625035,43.139329,0.000000,0.405014,4.063930,0.022601
56.250455,43.233699,0.000000,0.437679,4.063813,0.022317
55.678135,43.054975,0.000000,0.408581,4.047599,0.030575
55.844160,43.187808,0.000000,0.430573,4.082512,0.020245
56.056710,43.617704,0.000000,0.427187,4.072322,0.019671
55.541826,43.133412,0.000000,0.427238,4.067193,0.019455
56.133422,43.054191,0.000000,0.432538,4.072261,0.019207
55.740935,43.259418,0.000000,0.431183,4.040601,0.019643
56.357105,43.685604,0.000000,0.410285,4.047368,0.019401
55.775301,42.976417,0.000000,0.426165,4.065055,0.019550
56.210725,43.151138,0.000000,0.425766,4.119822,0.019497
55.773276,43.056805,0.000000,0.402212,4.058149,0.022539
55.392847,43.121652,0.000000,0.423044,4.036053,0.022004
55.582711,42.931358,0.000000,0.416587,4.047143,0.019187
55.930895,42.995010,0.000000,0.414758,4.090049,0.031774
56.048111,42.999298,0.000000,0.422026,4.085845,0.022143
55.942901,43.667464,0.000000,0.423564,4.061615,0.019621
55.854263,43.273850,0.000000,0.414533,4.021835,0.018845
56.071784,43.191722,0.000000,0.424711,4.035943,0.019034
55.524559,43.091640,0.000000,0.422537,4.061417,0.019323
55.906951,43.143967,0.000000,0.405813,4.046757,0.018482
56.327445,43.197382,0.000000,0.417976,4.085635,0.033725
56.039185,43.314846,0.000000,0.428212,4.082304,0.018652
55.667534,43.121568,0.000000,0.421250,4.133032,0.019217
55.365170,42.847840,0.000000,0.423576,4.077779,0.019102
55.627122,43.085718,0.000000,0.421186,4.090573,0.020244
55.601405,43.042390,0.000000,0.405521,3.795449,0.020204
55.633525,43.052333,0.000000,0.396388,4.045210,0.019475
55.580385,43.142822,0.000000,0.406117,4.064533,0.022254
55.698249,43.087647,0.000000,0.422059,4.048605,0.029253
55.623168,42.964344,0.000000,0.416953,4.071393,0.022399
55.617632,43.017273,0.000000,0.431260,4.134228,0.019449
55.737112,43.093480,0.000000,0.394563,4.007828,0.018643
